"","country_info","index","xls_index"
"1","AFG",0.617202268431002,0.6141462
"2","ALB",0.717013888888889,0.0399248
"3","AND",0.681440443213296,0.684785
"4","ARM",0.551246537396122,0.1290535
"5","AUT",0.729474303535501,0.1521866
"6","AZE",0.634526418310202,0.2053919
"7","BEL",0.776895228566007,0.5408844
"8","BGR",0.739198229465319,0.3030913
"9","BIH",0.667999597605754,0.6751031
"10","BLR",0.278839531680441,0.4666067
"11","CHE",0.8253343620796,0.544095
"12","CZE",0.690246913580247,0.323343
"13","DEU",0.731845254551284,0.1642306
"14","DNK",0.82923121571012,0.1049465
"15","DZA",0.485468106995885,0.4426619
"16","ESP",0.477866841923679,0.4132178
"17","EST",0.806662700773349,0.4944277
"18","FIN",0.572960572684181,0.1412075
"19","FRA",0.478198886145727,0.1220981
"20","FRO",0,NA
"21","GBR",0.291791992438236,0.0531693
"22","GEO",0.73876953125,0.474852
"23","GGY",0.172335600907029,NA
"24","GRC",0.703673030620472,0.0299515
"25","GRL",0,0.21875
"26","HRV",0.702222222222222,0.0762839
"27","HUN",0.755923632454693,0.0296651999999999
"28","IMN",0.273760330578512,NA
"29","IRL",0.314763488567236,0.0312421000000001
"30","IRN",0.5472,0.7462229
"31","IRQ",0.397916768546139,0.3694473
"32","ISL",0.707074498029649,0.0820409
"33","ITA",0.582234197060735,0.1146823
"34","JEY",0.429752066115702,NA
"35","KAZ",0.496938775510204,0.6620897
"36","LIE",0.375,0.2246094
"37","LTU",0.695266272189349,0.3219138
"38","LUX",0.689020381328074,0.6439541
"39","LVA",0.678849771566783,0.5795139
"40","MCO",0.444444444444444,0.7304891
"41","MDA",0.839506172839506,0.5533224
"42","MKD",0.847064751826657,0.5020711
"43","MLT",0.709876543209877,0.090691
"44","MNE",0.608275572358748,NA
"45","NLD",0.592704111204085,0.5142933
"46","NOR",0.7174749113635,0.0673454
"47","PAK",0.757369614512472,0.7190371
"48","POL",0.485048533849827,0.0468132
"49","PRT",0.485720992829399,0.0197805
"50","ROU",0.732970538562582,0.1723278
"51","RUS",0.348410587178796,0.2485198
"52","SRB",0.508352812271731,NA
"53","SVK",0.577134986225895,0.2551231
"54","SVN",0.663194813476459,0.2201092
"55","SWE",0.72377799303156,0.196756
"56","SYR",0.623829344432882,0.1816702
"57","TKM",0,0.3983544
"58","TUN",0.715618814214346,0.012422
"59","TUR",0.426729620524558,0.2216339
"60","UKR",0.639891944690333,0.4741077
"61","UZB",0.740190249702735,0.4119866
"62","XKS",0.759506172839506,NA
